
2024/09/29 (19:47:30) | ===> btop++ v.1.4.0
2024/09/29 (19:47:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (22:11:10) | ===> btop++ v.1.4.0
2024/09/29 (22:11:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (22:11:29) | ===> btop++ v.1.4.0
2024/09/29 (22:11:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (20:25:39) | ===> btop++ v.1.4.0
2024/10/03 (20:25:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (23:15:15) | ===> btop++ v.1.4.0
2024/10/11 (23:15:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (16:10:13) | ===> btop++ v.1.4.0
2024/10/13 (16:10:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (20:24:29) | ===> btop++ v.1.4.0
2024/10/14 (20:24:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (20:31:14) | ===> btop++ v.1.4.0
2024/10/14 (20:31:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (20:34:47) | ===> btop++ v.1.4.0
2024/10/14 (20:34:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (20:35:58) | ===> btop++ v.1.4.0
2024/10/14 (20:35:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (17:59:55) | ===> btop++ v.1.4.0
2024/10/17 (17:59:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (15:50:32) | ===> btop++ v.1.4.0
2024/10/20 (15:50:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (20:56:25) | ===> btop++ v.1.4.0
2024/10/22 (20:56:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (18:56:32) | ===> btop++ v.1.4.0
2024/10/24 (18:56:32) | WARNING: Intel GPU: Failed to initialize PMU
